<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210312,000000,1862.0000000,1867.0000000,1805.2000000,1827.0000000,996967
20210315,000000,1825.0000000,1845.0000000,1808.2000000,1834.0000000,671355
20210316,000000,1839.8000000,1840.8000000,1805.2000000,1810.2000000,675473
20210317,000000,1813.0000000,1829.0000000,1800.0000000,1818.8000000,729379
20210318,000000,1820.0000000,1824.0000000,1795.0000000,1804.0000000,646739
20210319,000000,1805.8000000,1813.0000000,1780.4000000,1792.0000000,603077
20210322,000000,1793.0000000,1799.2000000,1782.2000000,1794.2000000,379820
20210323,000000,1790.6000000,1790.6000000,1742.4000000,1749.0000000,707190
20210324,000000,1753.0000000,1763.8000000,1728.6000000,1741.2000000,398988
20210325,000000,1745.2000000,1745.2000000,1700.2000000,1716.0000000,512575
20210326,000000,1713.6000000,1741.4000000,1711.0000000,1732.0000000,431065
20210329,000000,1733.8000000,1771.0000000,1731.2000000,1755.8000000,406811
20210330,000000,1761.0000000,1789.8000000,1738.8000000,1750.0000000,511040
20210331,000000,1750.8000000,1754.0000000,1714.4000000,1738.0000000,582620
20210401,000000,1740.0000000,1759.6000000,1724.8000000,1751.8000000,402634
20210402,000000,1760.0000000,1773.0000000,1750.2000000,1770.2000000,158859
20210405,000000,1764.0000000,1800.0000000,1752.0000000,1790.2000000,254922
20210406,000000,1788.0000000,1796.8000000,1745.6000000,1759.4000000,391742
20210407,000000,1766.2000000,1771.0000000,1736.2000000,1748.0000000,344093
20210408,000000,1748.0000000,1759.0000000,1731.4000000,1743.6000000,246472
20210409,000000,1759.6000000,1759.6000000,1704.2000000,1717.2000000,472162
20210412,000000,1719.8000000,1756.4000000,1714.6000000,1750.2000000,470006
20210413,000000,1751.2000000,1799.0000000,1749.2000000,1787.2000000,511199
20210414,000000,1785.0000000,1825.6000000,1757.6000000,1803.2000000,761943
20210415,000000,1804.8000000,1805.0000000,1750.4000000,1765.0000000,644301
20210416,000000,1769.0000000,1776.6000000,1740.2000000,1750.6000000,407929
20210419,000000,1745.2000000,1755.2000000,1725.0000000,1739.0000000,329420
20210420,000000,1743.2000000,1751.8000000,1701.4000000,1720.0000000,744202
20210421,000000,1715.0000000,1721.6000000,1685.0000000,1695.0000000,803140
20210422,000000,1698.0000000,1743.2000000,1692.6000000,1728.4000000,796544
20210423,000000,1733.4000000,1746.0000000,1710.0000000,1735.2000000,347521
20210426,000000,1739.4000000,1742.4000000,1721.4000000,1731.2000000,192524
20210427,000000,1732.0000000,1748.0000000,1721.0000000,1722.2000000,259865
20210428,000000,1728.8000000,1735.4000000,1703.0000000,1719.6000000,303975
20210429,000000,1726.6000000,1738.8000000,1694.2000000,1707.0000000,492168
20210430,000000,1709.6000000,1714.0000000,1674.4000000,1681.2000000,646024
20210504,000000,1691.0000000,1695.0000000,1652.2000000,1662.8000000,529444
20210505,000000,1666.0000000,1674.8000000,1656.0000000,1663.0000000,347153
20210506,000000,1666.6000000,1666.8000000,1630.0000000,1642.6000000,619984
20210507,000000,1647.0000000,1649.0000000,1621.8000000,1636.8000000,421577
20210510,000000,1640.6000000,1641.2000000,1610.6000000,1613.0000000,308326
20210511,000000,1616.0000000,1617.4000000,1567.6000000,1588.6000000,848005
20210512,000000,1588.6000000,1594.8000000,1551.0000000,1553.0000000,645431
20210513,000000,1553.0000000,1554.6000000,1502.8000000,1505.0000000,1036882
20210514,000000,1511.2000000,1516.6000000,1465.8000000,1516.4000000,942160
20210517,000000,1527.2000000,1532.8000000,1491.0000000,1516.8000000,710691
20210518,000000,1520.8000000,1552.0000000,1509.0000000,1549.2000000,811947
20210519,000000,1550.6000000,1554.2000000,1501.0000000,1517.0000000,526280
20210520,000000,1518.0000000,1520.2000000,1500.2000000,1509.8000000,340911
20210521,000000,1510.0000000,1546.0000000,1500.6000000,1530.6000000,422014
20210524,000000,1530.6000000,1563.8000000,1530.0000000,1562.2000000,321404
20210525,000000,1564.0000000,1573.8000000,1552.0000000,1570.0000000,331201
20210526,000000,1573.6000000,1632.6000000,1572.2000000,1630.2000000,954488
20210527,000000,1630.2000000,1709.0000000,1615.2000000,1680.0000000,1786185
20210528,000000,1676.8000000,1697.8000000,1642.0000000,1669.6000000,709406
20210531,000000,1674.6000000,1701.4000000,1665.6000000,1673.6000000,368876
20210601,000000,1680.0000000,1717.0000000,1676.0000000,1693.4000000,515323
20210602,000000,1694.0000000,1705.8000000,1672.2000000,1678.6000000,329439
20210603,000000,1687.2000000,1689.0000000,1660.0000000,1673.6000000,309199
20210604,000000,1673.8000000,1681.4000000,1639.2000000,1669.8000000,290302
20210607,000000,1674.6000000,1674.6000000,1652.2000000,1663.0000000,214502
20210608,000000,1662.0000000,1683.6000000,1660.0000000,1662.6000000,293967
20210609,000000,1666.8000000,1680.0000000,1658.0000000,1670.0000000,270701
20210610,000000,1670.6000000,1673.4000000,1654.0000000,1664.0000000,327171
20210611,000000,1665.6000000,1668.2000000,1628.0000000,1637.8000000,320821
20210614,000000,1640.8000000,1644.6000000,1625.4000000,1636.6000000,142312
20210615,000000,1636.6000000,1637.4000000,1616.6000000,1618.0000000,246525
20210616,000000,1615.2000000,1624.4000000,1597.0000000,1600.6000000,580801
20210617,000000,1603.0000000,1642.8000000,1587.8000000,1631.4000000,401455
20210618,000000,1638.0000000,1646.8000000,1611.8000000,1624.2000000,373970
20210621,000000,1630.8000000,1643.2000000,1608.2000000,1614.0000000,274223
20210622,000000,1621.0000000,1621.2000000,1592.0000000,1601.0000000,389909
20210623,000000,1602.2000000,1609.0000000,1581.8000000,1602.2000000,349094
20210624,000000,1604.4000000,1604.4000000,1581.4000000,1590.0000000,244223
20210625,000000,1593.8000000,1620.0000000,1588.8000000,1610.8000000,241976
20210628,000000,1610.8000000,1630.0000000,1602.0000000,1627.2000000,309855
20210629,000000,1628.0000000,1645.0000000,1591.4000000,1622.0000000,427988
20210630,000000,1616.0000000,1664.0000000,1605.4000000,1655.6000000,397655
20210701,000000,1657.2000000,1677.6000000,1643.4000000,1669.4000000,361049
20210702,000000,1670.0000000,1679.0000000,1650.0000000,1661.2000000,199716
20210705,000000,1667.8000000,1668.8000000,1637.2000000,1658.0000000,193552
20210706,000000,1658.0000000,1665.2000000,1643.4000000,1649.0000000,350720
20210707,000000,1650.4000000,1669.2000000,1646.8000000,1649.0000000,259954
20210708,000000,1649.0000000,1650.4000000,1623.6000000,1629.8000000,300085
20210709,000000,1626.6000000,1641.0000000,1605.0000000,1616.0000000,233526
20210712,000000,1614.6000000,1620.6000000,1599.4000000,1619.6000000,181586
20210713,000000,1619.4000000,1650.0000000,1612.2000000,1642.4000000,216623
20210714,000000,1647.8000000,1647.8000000,1606.0000000,1607.0000000,291297
20210715,000000,1606.0000000,1618.8000000,1578.0000000,1585.2000000,437482
20210716,000000,1594.8000000,1604.0000000,1557.6000000,1560.8000000,277366
20210719,000000,1561.4000000,1567.4000000,1513.4000000,1528.6000000,451228
20210720,000000,1534.8000000,1543.0000000,1516.4000000,1534.0000000,205688
20210721,000000,1536.0000000,1564.2000000,1525.8000000,1541.0000000,175222
20210722,000000,1553.0000000,1557.8000000,1533.4000000,1549.0000000,172300
20210723,000000,1549.8000000,1560.0000000,1525.0000000,1539.0000000,148757
20210726,000000,1536.2000000,1547.2000000,1523.0000000,1544.0000000,140897
20210727,000000,1544.0000000,1544.0000000,1508.8000000,1517.4000000,233678
20210728,000000,1523.6000000,1554.6000000,1519.2000000,1548.6000000,192010
20210729,000000,1555.0000000,1558.4000000,1515.4000000,1520.4000000,508863
20210730,000000,1517.6000000,1523.2000000,1500.6000000,1514.8000000,430663
20210802,000000,1519.2000000,1520.6000000,1500.4000000,1506.4000000,250450
20210803,000000,1506.4000000,1508.8000000,1470.0000000,1481.4000000,513667
20210804,000000,1483.2000000,1491.8000000,1478.4000000,1487.8000000,205847
20210805,000000,1490.4000000,1508.0000000,1480.4000000,1507.0000000,239633
20210806,000000,1507.8000000,1526.0000000,1495.6000000,1506.0000000,266920
20210809,000000,1504.2000000,1521.6000000,1495.4000000,1505.6000000,183866
20210810,000000,1510.2000000,1519.2000000,1502.0000000,1515.0000000,252210
20210811,000000,1518.8000000,1549.0000000,1513.4000000,1543.0000000,353070
20210812,000000,1549.4000000,1553.8000000,1525.8000000,1536.6000000,204407
20210813,000000,1536.6000000,1539.0000000,1508.2000000,1513.8000000,217272
20210816,000000,1513.8000000,1514.4000000,1486.0000000,1494.0000000,301687
20210817,000000,1491.2000000,1500.0000000,1478.0000000,1488.8000000,263812
20210818,000000,1490.0000000,1496.2000000,1480.0000000,1482.0000000,181284
20210819,000000,1481.0000000,1487.6000000,1466.0000000,1482.6000000,337864
20210820,000000,1483.0000000,1483.0000000,1438.6000000,1441.6000000,466932
20210823,000000,1444.8000000,1456.4000000,1413.8000000,1426.2000000,436935
20210824,000000,1432.0000000,1438.8000000,1419.0000000,1436.4000000,288082
20210825,000000,1437.0000000,1449.4000000,1426.4000000,1436.0000000,369496
20210826,000000,1435.0000000,1442.6000000,1421.0000000,1432.2000000,208221
20210827,000000,1432.2000000,1436.0000000,1420.0000000,1430.2000000,219027
20210830,000000,1430.2000000,1443.8000000,1425.2000000,1436.0000000,192590
20210831,000000,1440.0000000,1486.8000000,1438.4000000,1484.4000000,698413
20210901,000000,1488.0000000,1521.2000000,1469.0000000,1519.0000000,602714
20210902,000000,1514.8000000,1545.2000000,1505.6000000,1535.2000000,451711
20210903,000000,1542.2000000,1544.0000000,1506.0000000,1541.0000000,274721
20210906,000000,1541.0000000,1561.0000000,1531.2000000,1541.2000000,302195
20210907,000000,1542.0000000,1547.6000000,1512.0000000,1536.0000000,296865
